Processing well B&G LIVESTOCK 2-5: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well BONNER 1-1: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well BROWDER JACK 1-36: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well BROWN R H #17: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well BROWN R H #18: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well BROWN R H #19: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well BROWN R H #20: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well BURNS 3: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CALLAWAY 2-23 CSG: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CALLAWAY 3A-23: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CALLAWAY 4-23: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CALLAWAY 5-23: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CALLAWAY 6-23: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CALMES A-1: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CAROLINE 5-21: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well CONTINENTAL 1-36: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well COOK ELLA 4-12: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well COOK ELLA B-1: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well COOPER JOHNSON 1-1: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well COUNTS UNIT 1-32: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well EISER 01-30: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well ELLA COOK B 5-12: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well HARRY 2-5: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well HEFNER A-4: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well KILGO 7-21: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well LAMAR 1-21: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well LOIS JOHNS B 1-5: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well LUBELL B I UNIT 1: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well LUBELL B I UNIT 2 L: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well MILLER 1-24: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well MORSE 2-17: DIV_CLOSE_DATE = 2022-08-01 00:00:00, is_divested = True
Processing well ONA 1-18: DIV_CLOSE_DATE = 2022-08-01 00:00:00, is_divested = True
Processing well OTHO 6-21: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well PHIPPS 1-5: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well PHIPPS 2-5: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well RA HEFNER A-1: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well REICHMAN 1 30: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well RENFROW 1-20: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well RENFROW 2-20: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well RENFROW 3-20: DIV_CLOSE_DATE = NaT, is_divested = False
Processing well RHOADES 1 23: DIV_CLOSE_DATE = NaT, is_divested = False
